"id","name","description","level","address","latitude","longitude","radius","polygon","created_at","is_custom"
c819e461-65e9-4204-9472-c327c3882af6,娲皇宫景区,"",5,索堡镇娲皇宫景区,36.6336400,113.6023200,0,"[[36.63695, 113.59648], [36.62758, 113.60352], [36.63598, 113.62849], [36.65148, 113.62154], [36.64562, 113.60738]]",2026-01-20 23:48:01.999 +0800,true
c35fa370-a079-4191-967f-a92dd0bc1d3c,广府古城旅游区,"",5,河北省邯郸市永年区广府镇广府古城,36.6992800,114.7260500,0,"[[36.69375, 114.71717], [36.69416, 114.73193], [36.70696, 114.73228], [36.70689, 114.71691]]",2026-01-20 23:48:42.201 +0800,true
9187432e-075a-4e7f-b865-88d90aa650bc,金山岭长城景区,"",5,河北省承德市滦平县巴克什营镇花楼沟村,40.6785500,117.2469300,0,"[[40.6848, 117.24342], [40.6794, 117.26214], [40.66501, 117.2769], [40.65843, 117.26428], [40.66853, 117.23604], [40.68057, 117.23227]]",2026-01-20 23:53:09.772 +0800,true
e5dd8ed2-0bad-4bbc-987c-f3ae98f48ddf,唐山市南湖景区,"",5,河北省唐山市路南区广场街道建设南路与新岳道交口南侧,39.5950700,118.1521000,0,"[[39.5951, 118.1401], [39.60046, 118.1498], [39.59702, 118.1607], [39.59305, 118.1619], [39.58717, 118.15932], [39.58412, 118.14774], [39.58697, 118.14284]]",2026-01-20 23:55:24.723 +0800,true
2e24e296-b315-4a2c-be8f-ae4fe4c4308d,衡水湖景区,"",0,河北省衡水市桃城区衡水湖自然保护区管理处东滨河路999号,37.6515690,115.6469380,0,"[[37.63952, 115.64552], [37.64427, 115.65341], [37.65549, 115.6626], [37.66242, 115.65187], [37.6529, 115.62612], [37.63734, 115.63333]]",2026-01-20 23:56:17.649 +0800,true
85fda12c-0906-494f-b252-16595197e05e,黄河壶口瀑布旅游区,"",5,陕西省延安市宜川县壶口镇,36.1456100,110.4428930,0,"[[36.11152, 110.44829], [36.11346, 110.45618], [36.17099, 110.44966], [36.17169, 110.43404]]",2026-01-20 21:11:20.665 +0800,true
e16e06b1-0e77-4f63-a05e-c7a91179059f,云冈区云冈石窟景区,"",5,山西省大同市云冈区云冈镇云冈村,40.1098200,113.1257900,0,"[[40.10538, 113.11694], [40.10558, 113.14098], [40.11759, 113.14218], [40.11792, 113.11754]]",2026-01-22 00:15:08.244 +0800,true
"170dae97-0f84-4069-a2fe-a6b6ada34062",五台山风景名胜区西门,"",5,台怀镇五台山风景名胜区,38.9550650,113.4979220,0,"[[38.94976, 113.47703], [38.88886, 113.55394], [38.82951, 113.65762], [38.88352, 113.7407], [39.06288, 113.67616], [39.05222, 113.52029]]",2026-01-22 00:16:22.925 +0800,true
"2cc819e1-386f-43aa-a3b0-3fe0803892a0",皇城相府生态文化旅游区,"",5,山西省晋城市阳城县北留镇皇城村,35.5144100,112.5770600,0,"[[35.51243, 112.57537], [35.512, 112.57719], [35.515, 112.57896], [35.51584, 112.57635]]",2026-01-22 00:16:47.257 +0800,true
f58435a8-7a0e-4ab5-80d1-12067ed830c9,介休市绵山风景区,"",5,山西省晋中市介休市城东南20公里处新地村,36.8832500,111.9635900,0,"[[36.8807, 111.93349], [36.85378, 112.04472], [36.9282, 112.06807], [36.92957, 111.95855]]",2026-01-22 00:17:29.840 +0800,true
